candidate_id,rank,score,reasoning
CAND_0046525,1,0.7808,"Outstanding Senior Machine Learning Engineer at Genpact AI with 6.1 years of experience; they led search migration from keyword to embeddings. Demonstrates expert proficiency in Elasticsearch, Information Retrieval, LLMs, and is based in Pune, Maharashtra with 60-day notice period and exceptional responsiveness (88% response rate)."
CAND_0050454,2,0.7808,"Outstanding AI Engineer at Rephrase.ai with 6.8 years of experience; they designed large-scale semantic search. Demonstrates expert proficiency in PyTorch, QLoRA, Fine-tuning LLMs, and is based in Delhi, Delhi (willing to relocate) with immediate 30-day availability and exceptional responsiveness (77% response rate)."
CAND_0081846,3,0.7070,"Outstanding Lead AI Engineer at Razorpay with 6.7 years of experience; they led search migration from keyword to embeddings. Demonstrates expert proficiency in Information Retrieval, Learning to Rank, Elasticsearch, and is based in Jaipur, Rajasthan (willing to relocate) with immediate 30-day availability and exceptional responsiveness (73% response rate)."
CAND_0018499,4,0.6854,"Outstanding Senior Machine Learning Engineer at Zomato with 7.2 years of experience; they led search migration from keyword to embeddings. Demonstrates expert proficiency in Weaviate, Pinecone, Information Retrieval, and is based in Noida, Uttar Pradesh with immediate 30-day availability and good response rate (61%)."
CAND_0068932,5,0.6840,"Outstanding ML Engineer at Krutrim with 5.2 years of experience; they built search and ranking features. Demonstrates expert proficiency in Milvus, RAG, and is based in Noida, Uttar Pradesh with immediate 30-day availability and exceptional responsiveness (82% response rate)."
CAND_0006418,6,0.6721,"Outstanding Machine Learning Engineer at Verloop.io with 5.7 years of experience; they built search and ranking features. Demonstrates expert proficiency in Semantic Search, Weaviate, Elasticsearch, and is based in Gurgaon, Haryana (willing to relocate) with 60-day notice period and exceptional responsiveness (92% response rate)."
CAND_0045250,7,0.6480,"Outstanding Applied ML Engineer at Rephrase.ai with 6.6 years of experience; they built search and ranking features. Demonstrates expert proficiency in Sentence Transformers, Milvus, LoRA, and is based in Delhi, Delhi with immediate 30-day availability and exceptional responsiveness (74% response rate)."
CAND_0077337,8,0.6480,"Outstanding Staff Machine Learning Engineer at Paytm with 7.0 years of experience; they built search and ranking features. Demonstrates expert proficiency in Semantic Search, QLoRA, Pinecone, and is based in Kochi, Kerala (willing to relocate) with 60-day notice period and exceptional responsiveness (95% response rate)."
CAND_0048558,9,0.6440,"Outstanding Data Scientist at Rephrase.ai with 6.7 years of experience; they shipped ML or search components to production. Demonstrates expert proficiency in Information Retrieval, Qdrant, Elasticsearch, and is based in Noida, Uttar Pradesh with immediate 30-day availability and exceptional responsiveness (80% response rate)."
CAND_0037566,10,0.6363,"Outstanding Machine Learning Engineer at LinkedIn with 6.9 years of experience; they built and shipped RAG pipelines. Demonstrates expert proficiency in Pinecone, NLP, LoRA, and is based in Bangalore, Karnataka (willing to relocate) with immediate 30-day availability and good response rate (50%)."
CAND_0064256,11,0.6253,"Strong fit candidate with 6.4 years experience as Junior ML Engineer at BYJU'S; they shipped ML or search components to production. Equipped with PyTorch, showing positive indicators including immediate 30-day availability and exceptional responsiveness (86% response rate)."
CAND_0062247,12,0.6250,"Strong fit candidate with 7.3 years experience as AI Engineer at Google; they designed large-scale semantic search. Equipped with Pinecone, Vector Search, Qdrant, showing positive indicators including immediate 30-day availability and exceptional responsiveness (78% response rate)."
CAND_0068811,13,0.6250,"Strong fit candidate with 8.0 years experience as Applied ML Engineer at Freshworks; they built search and ranking features. Equipped with Vector Search, Qdrant, Pinecone, showing positive indicators including immediate 30-day availability and good response rate (42%)."
CAND_0083879,14,0.6206,"Strong fit candidate with 7.1 years experience as Machine Learning Engineer at Ola; they shipped ML or search components to production. Equipped with Fine-tuning LLMs, Milvus, Sentence Transformers, showing positive indicators including immediate 30-day availability and good response rate (47%)."
CAND_0097176,15,0.6156,"Strong fit candidate with 5.9 years experience as ML Engineer at TCS; they shipped ML or search components to production. Equipped with PyTorch, showing positive indicators including immediate 30-day availability and exceptional responsiveness (76% response rate)."
CAND_0037160,16,0.5994,"Strong fit candidate with 6.0 years experience as Data Scientist at Haptik; they built search and ranking features. Equipped with LLMs, Weaviate, Vector Search, showing positive indicators including immediate 30-day availability and exceptional responsiveness (74% response rate)."
